priority,year,year_slug,term,week_of_term,week_of_year,word,category,statutory,difficulty_rank,focus,origin_candidate,origin_hint,status,definition,example_sentence,origin,notes
648,6,year6,autumn,4,4,system,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
649,6,year6,autumn,4,4,temperature,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
650,6,year6,autumn,5,5,preferred,rule-example,,3,doubling r before a vowel suffix on -fer words (still stressed),yes,,todo,,,,
651,6,year6,autumn,5,5,preferring,rule-example,,3,doubling r before a vowel suffix on -fer words (still stressed),yes,,todo,,,,
652,6,year6,autumn,5,5,referee,rule-example,,3,no doubling on -fer words when the -fer is no longer stressed,yes,,todo,,,,
653,6,year6,autumn,5,5,reference,rule-example,,3,no doubling on -fer words when the -fer is no longer stressed,yes,,todo,,,,
654,6,year6,autumn,5,5,referral,rule-example,,3,doubling r before a vowel suffix on -fer words (still stressed),yes,,todo,,,,
655,6,year6,autumn,5,5,referred,rule-example,,3,doubling r before a vowel suffix on -fer words (still stressed),yes,,todo,,,,
656,6,year6,autumn,5,5,referring,rule-example,,3,doubling r before a vowel suffix on -fer words (still stressed),yes,,todo,,,,
657,6,year6,autumn,5,5,thorough,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
658,6,year6,autumn,5,5,transferred,rule-example,,3,doubling r before a vowel suffix on -fer words (still stressed),yes,,todo,,,,
659,6,year6,autumn,5,5,transferring,rule-example,,3,doubling r before a vowel suffix on -fer words (still stressed),yes,,todo,,,,
660,6,year6,autumn,5,5,twelfth,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
661,6,year6,autumn,5,5,variety,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
662,6,year6,autumn,5,5,vegetable,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
663,6,year6,autumn,5,5,vehicle,statutory-word-list,yes,2,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
664,6,year6,autumn,5,5,yacht,statutory-word-list,yes,3,NC Appendix 1 statutory word list (Years 5/6),yes,,todo,,,,
665,6,year6,autumn,6,6,bought,rule-example,,3,the letter-string ough,yes,,todo,,,,
666,6,year6,autumn,6,6,brought,rule-example,,3,the letter-string ough,yes,,todo,,,,
667,6,year6,autumn,6,6,ceiling,rule-example,,3,'i before e except after c' for the /iː/ sound,yes,,todo,,,,
668,6,year6,autumn,6,6,co-operate,rule-example,,3,hyphens joining a prefix to a root word,yes,,todo,,,,
669,6,year6,autumn,6,6,co-ordinate,rule-example,,3,hyphens joining a prefix to a root word,yes,,todo,,,,
670,6,year6,autumn,6,6,co-own,rule-example,,3,hyphens joining a prefix to a root word,yes,,todo,,,,
671,6,year6,autumn,6,6,conceive,rule-example,,3,'i before e except after c' for the /iː/ sound,yes,,todo,,,,
672,6,year6,autumn,6,6,deceive,rule-example,,3,'i before e except after c' for the /iː/ sound,yes,,todo,,,,
673,6,year6,autumn,6,6,ought,rule-example,,3,the letter-string ough,yes,,todo,,,,
674,6,year6,autumn,6,6,perceive,rule-example,,3,'i before e except after c' for the /iː/ sound,yes,,todo,,,,
675,6,year6,autumn,6,6,preference,rule-example,,3,no doubling on -fer words when the -fer is no longer stressed,yes,,todo,,,,
676,6,year6,autumn,6,6,re-enter,rule-example,,3,hyphens joining a prefix to a root word,yes,,todo,,,,
677,6,year6,autumn,6,6,receive,rule-example,,3,'i before e except after c' for the /iː/ sound,yes,,todo,,,,
678,6,year6,autumn,6,6,thought,rule-example,,3,the letter-string ough,yes,,todo,,,,
679,6,year6,autumn,6,6,transference,rule-example,,3,no doubling on -fer words when the -fer is no longer stressed,yes,,todo,,,,
680,6,year6,autumn,7,7,although,rule-example,,4,the letter-string ough,yes,,todo,,,,
681,6,year6,autumn,7,7,borough,rule-example,,4,the letter-string ough,yes,,todo,,,,
682,6,year6,autumn,7,7,cough,rule-example,,4,the letter-string ough,yes,,todo,,,,
683,6,year6,autumn,7,7,doubt,rule-example,,4,silent letters,yes,,todo,,,,
684,6,year6,autumn,7,7,dough,rule-example,,4,the letter-string ough,yes,,todo,,,,
685,6,year6,autumn,7,7,enough,rule-example,,4,the letter-string ough,yes,,todo,,,,
686,6,year6,autumn,7,7,fought,rule-example,,4,the letter-string ough,yes,,todo,,,,
687,6,year6,autumn,7,7,island,rule-example,,4,silent letters,yes,,todo,,,,
688,6,year6,autumn,7,7,lamb,rule-example,,4,silent letters,yes,,todo,,,,
689,6,year6,autumn,7,7,plough,rule-example,,4,the letter-string ough,yes,,todo,,,,
690,6,year6,autumn,7,7,rough,rule-example,,4,the letter-string ough,yes,,todo,,,,
691,6,year6,autumn,7,7,though,rule-example,,4,the letter-string ough,yes,,todo,,,,
692,6,year6,autumn,7,7,through,rule-example,,4,the letter-string ough,yes,,todo,,,,
693,6,year6,autumn,7,7,tough,rule-example,,4,the letter-string ough,yes,,todo,,,,
694,6,year6,autumn,8,8,advice,rule-example,,4,"homophones/confusables: noun -ce, verb -se",yes,,todo,,,,
695,6,year6,autumn,8,8,advise,rule-example,,4,"homophones/confusables: noun -ce, verb -se",yes,,todo,,,,
696,6,year6,autumn,8,8,device,rule-example,,4,"homophones/confusables: noun -ce, verb -se",yes,,todo,,,,
697,6,year6,autumn,8,8,devise,rule-example,,4,"homophones/confusables: noun -ce, verb -se",yes,,todo,,,,
698,6,year6,autumn,8,8,farther,rule-example,,5,homophones/confusables,yes,,todo,,,,
699,6,year6,autumn,8,8,father,rule-example,,5,homophones/confusables,yes,,todo,,,,
700,6,year6,autumn,8,8,guessed,rule-example,,5,homophones/confusables,yes,,todo,,,,
701,6,year6,autumn,8,8,guest,rule-example,,5,homophones/confusables,yes,,todo,,,,
702,6,year6,autumn,8,8,knight,rule-example,,4,silent letters,yes,,todo,,,,
703,6,year6,autumn,8,8,licence,rule-example,,4,"homophones/confusables: noun -ce, verb -se",yes,,todo,,,,
704,6,year6,autumn,8,8,license,rule-example,,4,"homophones/confusables: noun -ce, verb -se",yes,,todo,,,,
705,6,year6,autumn,8,8,practice,rule-example,,4,"homophones/confusables: noun -ce, verb -se",yes,,todo,,,,
706,6,year6,autumn,8,8,practise,rule-example,,5,"homophones/confusables: noun -ce, verb -se",yes,,todo,,,,
707,6,year6,autumn,8,8,solemn,rule-example,,4,silent letters,yes,,todo,,,,
708,6,year6,autumn,8,8,thistle,rule-example,,4,silent letters,yes,,todo,,,,
709,6,year6,autumn,9,9,heard,rule-example,,5,homophones/confusables,yes,,todo,,,,
710,6,year6,autumn,9,9,herd,rule-example,,5,homophones/confusables,yes,,todo,,,,
711,6,year6,autumn,9,9,lead,rule-example,,5,homophones/confusables,yes,,todo,,,,
712,6,year6,autumn,9,9,led,rule-example,,5,homophones/confusables,yes,,todo,,,,
713,6,year6,autumn,9,9,morning,rule-example,,5,homophones/confusables,yes,,todo,,,,
714,6,year6,autumn,9,9,mourning,rule-example,,5,homophones/confusables,yes,,todo,,,,
715,6,year6,autumn,9,9,passed,rule-example,,5,homophones/confusables,yes,,todo,,,,
716,6,year6,autumn,9,9,past,rule-example,,5,homophones/confusables,yes,,todo,,,,
717,6,year6,autumn,9,9,principal,rule-example,,5,homophones/confusables,yes,,todo,,,,
718,6,year6,autumn,9,9,principle,rule-example,,5,homophones/confusables,yes,,todo,,,,
719,6,year6,autumn,9,9,profit,rule-example,,5,homophones/confusables,yes,,todo,,,,
720,6,year6,autumn,9,9,prophet,rule-example,,5,homophones/confusables,yes,,todo,,,,
721,6,year6,autumn,9,9,stationary,rule-example,,5,homophones/confusables,yes,,todo,,,,
722,6,year6,autumn,9,9,stationery,rule-example,,5,homophones/confusables,yes,,todo,,,,
723,6,year6,autumn,9,9,steal,rule-example,,5,homophones/confusables,yes,,todo,,,,
724,6,year6,autumn,10,10,steel,rule-example,,5,homophones/confusables,yes,,todo,,,,
725,6,year6,autumn,10,10,wary,rule-example,,5,homophones/confusables,yes,,todo,,,,
726,6,year6,autumn,10,10,weary,rule-example,,5,homophones/confusables,yes,,todo,,,,
727,6,year6,autumn,10,10,who's,rule-example,,5,homophones/confusables,yes,,todo,,,,
728,6,year6,autumn,10,10,whose,rule-example,,5,homophones/confusables,yes,,todo,,,,
